ds,y
06/08/2024,32769
07/08/2024,31911
08/08/2024,31819
09/08/2024,30815
10/08/2024,34382
11/08/2024,39318
12/08/2024,37554
13/08/2024,35824
14/08/2024,33762
15/08/2024,35797
16/08/2024,30826
17/08/2024,34488
18/08/2024,40863
19/08/2024,37444
20/08/2024,36464
21/08/2024,34282
22/08/2024,33423
23/08/2024,31595
24/08/2024,39776
25/08/2024,42321
26/08/2024,43265
27/08/2024,38248
28/08/2024,36646
29/08/2024,35286
30/08/2024,35108
31/08/2024,37795
01/09/2024,45994
02/09/2024,41386
03/09/2024,38118
04/09/2024,43571
05/09/2024,35857
06/09/2024,33549
07/09/2024,42206
08/09/2024,48589
09/09/2024,40965
10/09/2024,38525
11/09/2024,37023
12/09/2024,36715
13/09/2024,34789
14/09/2024,38299
15/09/2024,46247
16/09/2024,39991
17/09/2024,39247
18/09/2024,38478
19/09/2024,37524
20/09/2024,37194
21/09/2024,44865
22/09/2024,55588
23/09/2024,49291
24/09/2024,45549
25/09/2024,45546
26/09/2024,48074
27/09/2024,49682
28/09/2024,52762
29/09/2024,62195
30/09/2024,54832
01/10/2024,49516
02/10/2024,46412
03/10/2024,42351
04/10/2024,40223
05/10/2024,47328
06/10/2024,59454
07/10/2024,50591
08/10/2024,65663
09/10/2024,57208
10/10/2024,43389
11/10/2024,43322
12/10/2024,52576
13/10/2024,61114
14/10/2024,53579
15/10/2024,47254
16/10/2024,45171
17/10/2024,41324
18/10/2024,41307
19/10/2024,50242
20/10/2024,60179
21/10/2024,49488
22/10/2024,46259
23/10/2024,43816
24/10/2024,41674
25/10/2024,44474
26/10/2024,52055
27/10/2024,60647
28/10/2024,53831
29/10/2024,48941
30/10/2024,46802
31/10/2024,45432
01/11/2024,49487
02/11/2024,52905
03/11/2024,65008
04/11/2024,55163
05/11/2024,49990
06/11/2024,50099
07/11/2024,52930
08/11/2024,54123
09/11/2024,65863
10/11/2024,74122
11/11/2024,63457
12/11/2024,60721
13/11/2024,56349
14/11/2024,53193
15/11/2024,54147
16/11/2024,66072
17/11/2024,77272
18/11/2024,71278
19/11/2024,76918
20/11/2024,66831
21/11/2024,71883
22/11/2024,67282
23/11/2024,78034
24/11/2024,85173
25/11/2024,71651
26/11/2024,68025
27/11/2024,68107
28/11/2024,71271
29/11/2024,88735
30/11/2024,76609
01/12/2024,86042
02/12/2024,76033
03/12/2024,59740
04/12/2024,55557
05/12/2024,51884
06/12/2024,49434
07/12/2024,61739
08/12/2024,71979
09/12/2024,63359
10/12/2024,58959
11/12/2024,55289
12/12/2024,52547
13/12/2024,51419
14/12/2024,57874
15/12/2024,70483
16/12/2024,62771
17/12/2024,57357
18/12/2024,52892
19/12/2024,53812
20/12/2024,48997
21/12/2024,49593
22/12/2024,50952
23/12/2024,42262
24/12/2024,35581
25/12/2024,39336
26/12/2024,74444
27/12/2024,72751
28/12/2024,71966
29/12/2024,71703
30/12/2024,65821
31/12/2024,50284
01/01/2025,64655
02/01/2025,67447
03/01/2025,62972
04/01/2025,64899
05/01/2025,69502
06/01/2025,56199
07/01/2025,52329
08/01/2025,50411
09/01/2025,48043
10/01/2025,47703
11/01/2025,54057
12/01/2025,61053
13/01/2025,48556
14/01/2025,46411
15/01/2025,45017
16/01/2025,43385
17/01/2025,43390
18/01/2025,52408
19/01/2025,61849
20/01/2025,50308
21/01/2025,45351
22/01/2025,45789
23/01/2025,46599
24/01/2025,44684
25/01/2025,54034
26/01/2025,66347
27/01/2025,52766
28/01/2025,47653
29/01/2025,44579
30/01/2025,43300
31/01/2025,43402
01/02/2025,53493
02/02/2025,58748
03/02/2025,48803
04/02/2025,44913
05/02/2025,43046
06/02/2025,42597
07/02/2025,46864
08/02/2025,53319
09/02/2025,57396
10/02/2025,47469
11/02/2025,44634
12/02/2025,45310
13/02/2025,41464
14/02/2025,37744
15/02/2025,49032
16/02/2025,55980
17/02/2025,47778
18/02/2025,45696
19/02/2025,45454
20/02/2025,45744
21/02/2025,44861
22/02/2025,49934
23/02/2025,61426
24/02/2025,50719
25/02/2025,47058
26/02/2025,46906
27/02/2025,46138
28/02/2025,46535
01/03/2025,54557
02/03/2025,67189
03/03/2025,53976
04/03/2025,49453
05/03/2025,46909
06/03/2025,45732
07/03/2025,47416
08/03/2025,55077
09/03/2025,66055
10/03/2025,55423
11/03/2025,51602
12/03/2025,49786
13/03/2025,46615
14/03/2025,44885
15/03/2025,54903
16/03/2025,61613
17/03/2025,52928
18/03/2025,48779
19/03/2025,46355
20/03/2025,45376
21/03/2025,46137
22/03/2025,61694
23/03/2025,70347
24/03/2025,59128
25/03/2025,58906
26/03/2025,52923
27/03/2025,50709
28/03/2025,49609
29/03/2025,56313
30/03/2025,67848
31/03/2025,92020
01/04/2025,71796
02/04/2025,59105
